# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.208 -0.312 -0.323 9
-0.187 -0.281 -0.015 11
-0.169 -0.252 -0.013 10
-0.152 -0.227 -0.012 10
-0.136 -0.204 -0.011 9
-0.123 -0.184 -0.009 11
-0.11 -0.165 -0.008 10
-0.099 -0.149 -0.008 10
-0.089 -0.134 -0.007 10
0.194 -0.12 -0.006 10
0.312 -0.108 -0.005 10
0.281 -0.097 -0.005 10
0.253 -0.088 -0.004 10
0.503 -0.079 -0.004 10
0.453 0.203 -0.003 10
0.407 0.183 -0.003 10
0.366 0.165 -0.003 9
0.33 0.148 -0.002 11
0.297 0.133 -0.278 10
0.267 0.12 -0.113 10
0.24 0.108 -0.101 10
0.216 0.097 -0.091 9
0.195 0.087 -0.082 11
-0.099 0.079 -0.074 9
-0.227 0.071 -0.066 10
-0.204 0.064 -0.06 10
-0.184 -0.217 0.222 11
0.109 -0.058 0.199 9
0.236 -0.052 0.179 10
0.212 0.228 0.161 11
0.191 0.067 -0.13 10
-0.103 0.06 -0.117 10
0.044 0.054 -0.105 10
0.04 0.324 -0.095 3
0.036 0.292 -0.085 10
0.032 0.263 -0.077 10
0.029 0.375 -0.069 7
0.026 0.337 -0.062 9
0.023 0.304 -0.056 10
0.021 0.273 0.225 11
0.019 0.246 0.34 10
0.017 -0.054 0.306 10
0.015 -0.049 0.276 11
0.014 -0.044 0.248 9
-0.4 -0.039 -0.051 9
-0.36 -0.035 -0.185 11
-0.324 -0.032 -0.166 9
0.121 -0.029 -0.425 11
0.246 -0.026 -0.382 10
0.222 -0.023 -0.344 9
0.199 -0.021 -0.586 11
0.179 -0.019 -0.527 10
-0.113 -0.017 -0.475 15
-0.102 -0.015 -0.427 5
-0.091 -0.013 -0.384 9
-0.082 -0.012 -0.346 11
-0.074 -0.011 -0.035 10
-0.067 -0.01 -0.031 10
-0.06 -0.009 -0.028 9
-0.054 -0.008 -0.025 11
-0.048 -0.007 -0.023 10
-0.043 -0.006 -0.297 10
-0.039 -0.005 -0.128 10
-0.035 -0.005 -0.115 9
-0.032 -0.004 0.308 11
-0.028 -0.004 0.277 9
